구분,그룹,고민유형,비율
연령별,30대,고민없음,3.3
연령별,40대,고민없음,2.3
연령별,50대,고민없음,2.6
연령별,60대 이상,고민없음,3.0
학력별,중졸 이하,고민없음,2.1
학력별,고졸 이하,고민없음,2.5
학력별,대졸 이하,고민없음,3.0
학력별,대학원 이상,고민없음,5.9
소득별,100 만원 미만,고민없음,4.6
소득별,100-200만 미만,고민없음,3.2
소득별,200-300만 미만,고민없음,2.9
소득별,300-400만 미만,고민없음,2.4
소득별,400-500만 미만,고민없음,2.3
소득별,500만 이상,고민없음,2.8
혼인상태별,기혼,고민없음,2.7
혼인상태별,미혼,고민없음,2.4
혼인상태별,이혼/별거,고민없음,3.4
혼인상태별,사별,고민없음,4.1
지역대분류,도심권,고민없음,3.0
지역대분류,동북권,고민없음,2.6
지역대분류,서북권,고민없음,2.3
지역대분류,서남권,고민없음,3.1
지역대분류,동남권,고민없음,2.7
지역소분류,종로구,고민없음,4.3
지역소분류,중구,고민없음,1.1
지역소분류,용산구,고민없음,3.2
지역소분류,성동구,고민없음,0.7
지역소분류,광진구,고민없음,1.8
지역소분류,동대문구,고민없음,2.7
지역소분류,중랑구,고민없음,6.1
지역소분류,성북구,고민없음,1.0
지역소분류,강북구,고민없음,3.5
지역소분류,도봉구,고민없음,0.0
지역소분류,노원구,고민없음,3.7
지역소분류,은평구,고민없음,2.4
지역소분류,서대문구,고민없음,1.3
지역소분류,마포구,고민없음,2.9
지역소분류,양천구,고민없음,3.2
지역소분류,강서구,고민없음,0.9
지역소분류,구로구,고민없음,4.4
지역소분류,금천구,고민없음,3.7
지역소분류,영등포구,고민없음,1.7
지역소분류,동작구,고민없음,0.8
지역소분류,관악구,고민없음,6.9
지역소분류,서초구,고민없음,0.7
지역소분류,강남구,고민없음,5.8
지역소분류,송파구,고민없음,1.5
지역소분류,강동구,고민없음,2.6
서울시,소계,이성 및 우정 문제,2.7
성별,남자,이성 및 우정 문제,2.6
성별,여자,이성 및 우정 문제,2.8
연령별,10대,이성 및 우정 문제,5.2
연령별,20대,이성 및 우정 문제,9.2
연령별,30대,이성 및 우정 문제,2.8
연령별,40대,이성 및 우정 문제,0.5
연령별,50대,이성 및 우정 문제,0.3
연령별,60대 이상,이성 및 우정 문제,0.2
학력별,중졸 이하,이성 및 우정 문제,0.5
